entity_text,paper_count,pmids,entity_type,sources,mean_confidence
SHAP,21,"35378437,35511882,35880126,36174933,36350503,36520016,36825752,37149650,37820269,37891423,37947586,38559304,38630692,39033257,39082653,39762115,39962099,40119500,40292995,40467750,40661946",COM,statistical,1.0
D,21,"35576425,36610985,36931205,37094074,37140058,37410599,37521861,37605816,37847815,37953279,38109500,38177985,38228642,38241422,38395961,38738618,39289369,39384587,39700114,40351053,40355463",COM,v2_bert,0.7218509633333333
interaction database,21,"34634800,34718726,34761267,35007753,35174520,35713861,35842742,35910656,36209090,36373614,36447388,36875148,37289843,37566630,37953380,39180399,39401100,39558161,39588765,39797570,39888724",FUL,ruler,1.0
HPO,21,"35134823,35143074,35143083,35234913,35504357,35524573,35655307,36205845,36328766,36561149,37248747,37791887,37926714,37953324,38040041,38284225,39633268,39724242,39787917,40087567,40996704",COM,ruler,1.0
Sequence Read Archive,21,"34469540,35244718,35556129,35560008,36130056,36367311,36401317,36652461,37311148,37387170,37784104,37917105,38314912,38317726,38755321,39479298,39500943,39788962,40057525,40098071,40500266",FUL,ruler,1.0
PRIDE,21,"34636883,34723319,34904638,35066208,35411045,35701420,36370099,36529941,36847572,36961377,37567758,38556628,38810119,39389992,39475123,39494541,39588754,40057523,40296452,40410165,40545850",COM,ruler,1.0
ACMG,20,"35039090,35169226,35180879,35802133,36251279,36681081,36916756,37195695,37386017,37551357,37647638,37898381,37956311,38440907,38573379,39112918,39546087,39636577,39658089,40417484",COM,statistical,1.0
https://link.springer.com/bookseries/8901,20,"35337333,35337346,35337352,35337353,35337355,35337357,35337358,35337359,35337363,35337366,36941620,36941625,36941644,36941659,36941668,36941681,36941694,36941711,36941722,36941729",COM,statistical,1.0
UCSC Genome Browser,20,"34643708,34718705,34850907,34986604,35088925,35549894,36305828,36420891,36420896,36624667,37221043,37883436,37897357,37953330,38035367,39443154,39460617,39530237,39592010,39658041",COM,ruler,1.0
Global Biodiversity Information Facility,20,"35437393,35837835,36761504,36761561,38312338,38327298,38327374,38357419,38424443,38443673,38469223,38505537,38650359,38903959,38974676,39346622,39871100,39958908,40037615,40500268",FUL,ruler,1.0
ENA,19,"35134858,35941762,36067158,36350640,36624667,36847572,36932341,37356897,37376690,37484460,37889039,37956313,37962425,38025697,38035367,38597606,38724907,38907897,39346622",COM,ruler,1.0
C,19,"35135182,35161692,35562653,35597369,36276466,36406113,36412016,36464767,36508412,36549193,37023843,37855690,38013027,38310806,38763400,39237205,39609461,39657946,40800985",COM,v2_bert,0.7269747615789474
Convolutional Neural Network,19,"35165358,35290901,35650384,36289312,36696455,37697022,37822886,37880351,38238391,38910179,39389998,39557738,39820822,39880865,39930026,40065042,40251192,40355699,40368970",FUL,statistical,1.0
Database,19,"35275211,35835615,35892614,36197704,36217102,36618584,36758542,36819896,36828269,36917632,37450167,38115123,38393149,38683336,38802544,39215544,39588765,40130027,40481042",FUL,v2_bert,0.6304739863157894
OMIM,19,"35311657,35504357,35524573,35857265,36289281,36651276,36732862,37791887,37904411,38040041,38203654,38284225,38733902,38843230,39241757,39348154,39465390,39633268,40543694",COM,ruler,1.0
BioBERT,19,"34983371,35920772,36006843,36300629,36329384,36474140,36755230,37914988,37993103,38015956,38520725,38733346,38954836,38987117,39230709,39379460,39631489,39820357,40996710",COM,statistical,1.0
regulatory relationships,18,"34554254,34747466,34871445,35188184,36300630,36399495,36575796,36774895,36833209,37805704,39053644,39133097,39134412,39565208,39793886,40019186,40281032,40538029",FUL,ruler,1.0
