pmid,source,ling_score
33109630,linguistic,5.0
32291734,linguistic,5.0
23658631,linguistic,5.0
26581408,linguistic,3.0
27987168,linguistic,4.0
30922228,linguistic,3.0
29092939,linguistic,3.0
28802948,linguistic,4.0
31016417,linguistic,4.0
29300846,linguistic,7.0
32943659,linguistic,3.0
33481821,linguistic,3.0
28472498,linguistic,5.0
32931381,linguistic,3.0
32934277,linguistic,8.0
33119593,linguistic,4.0
31147718,linguistic,5.0
31598686,linguistic,3.0
30445541,linguistic,3.0
34716373,linguistic,7.0
29126249,linguistic,4.0
30967549,linguistic,5.0
28087515,linguistic,4.0
27789569,linguistic,7.0
31106382,linguistic,5.0
33112870,linguistic,4.0
31624831,linguistic,3.0
32780568,linguistic,4.0
24753490,linguistic,5.0
29762640,linguistic,6.0
32522662,linguistic,5.0
24275494,linguistic,4.0
26969411,linguistic,5.0
28608363,linguistic,4.0
33592122,linguistic,3.0
33196847,linguistic,5.0
30942867,linguistic,4.0
29069312,linguistic,5.0
24271392,linguistic,4.0
32813752,linguistic,5.0
29696732,linguistic,5.0
27864814,linguistic,3.0
32749457,linguistic,4.0
30814982,linguistic,5.0
26616131,linguistic,3.0
29907888,linguistic,4.0
27288496,linguistic,4.0
31501545,linguistic,3.0
32785571,linguistic,3.0
30668832,linguistic,5.0
27899619,linguistic,3.0
25971742,linguistic,7.0
